#1 
double table1(336, 8)
	# Time (s)	(1)Temperature exterieure  station meteo	(2)Temperature soufflage CTA Multifonctionnelle	(3)Temperature reprise CTA Multifonctionnelle	(4)Temperature soufflage CTA RDC R+1	(5)Temperature reprise CTA RDC R+1	(6)ahu_R1	(7)ahu_multi 
26697600.0	10.10611111111111	18.883555811111112	17.76383382222222	17.641097394736843	17.483945105555556	0.0	0.0
26699400.0	9.800625	18.826043036458334	17.649844625	17.536501025	17.372501125	0.0	0.0
26701200.0	7.869097222222222	18.75456290972222	17.557231678571426	17.446690639285716	17.255713976190474	0.0	0.0
26703000.0	7.873611111111112	18.672286871428575	17.48554851547619	17.332214395238097	17.186286799999998	0.0	0.0
26704800.0	7.7474358974358974	18.62648386630037	17.459423278846153	17.254807461538462	17.14735486813187	0.0	0.0
26706600.0	7.387946428571429	18.55734731292517	17.364491408163264	17.185179419642857	17.066640897959182	0.0	0.0
26708400.0	7.34375	18.49634937109045	17.296348986475063	17.107807786538462	17.013994276556776	0.0	0.0
26710200.0	7.173214285714286	18.44144115995116	17.241329065109888	17.058285528571428	16.947404870238095	0.0	0.0
26712000.0	8.470263157894736	18.39777888888889	17.189040922	17.00417272285714	16.896519786	0.0	0.0
26713800.0	8.648142414860681	18.356808710084035	17.12445418067227	16.93210037815126	16.814012045454547	0.0	0.0
26715600.0	7.283014354066985	18.312331864661655	17.08075112781955	16.883860543859647	16.75272709090909	0.0	0.0
26717400.0	7.004545454545455	18.24864529166667	17.062604182291665	16.821668197916665	16.72653746153846	0.0	0.0
26719200.0	8.255555555555555	18.233982796296296	17.056388652777777	16.793214946428574	16.733075923076917	0.0	0.0
26721000.0	8.025	18.123929125	17.123332333333334	16.78638424776786	17.489047023809523	0.0	0.0
26722800.0	7.021428571428571	13.529898576530613	18.933775974489798	13.25020443367347	18.68608811564626	1414.2857142857142	428.57142857142856
26724600.0	7.159375	12.006474097098215	19.09357272544643	12.177009425223215	18.605833802083335	1800.0	600.0
26726400.0	8.776923076923078	12.213461682692309	18.907693365384617	12.338077778846154	18.61512880128205	1800.0	600.0
26728200.0	10.559375	13.82312559375	18.7325023125	13.86875059375	18.95526885044643	1800.0	600.0
26730000.0	12.029166666666667	15.682500374999998	18.871667400000003	15.671666708333333	19.19785732142857	1800.0	600.0
26731800.0	13.233333333333333	21.650001566666667	19.77800148	21.376000966666666	19.65031863015873	1800.0	600.0
26733600.0	11.7325	25.630000575000004	21.282501575	24.99750205	20.044833741666668	1800.0	600.0
26735400.0	11.628571428571428	28.837859	22.292041714285716	27.968572607142857	20.96053644642857	1800.0	600.0
26737200.0	13.08409090909091	30.26954793181818	21.898442818181817	29.360131681818185	21.202387456818183	1800.0	600.0
26739000.0	14.91875	30.795348354166666	21.7731339525	29.8298230625	21.83429938359375	1800.0	600.0
26740800.0	15.3375	30.742269826388892	21.856568281666668	29.871460052083336	22.3001580234375	1800.0	600.0
26742600.0	14.359375	30.082946924107144	21.853222588235294	29.300671546875	22.226540736607145	1800.0	600.0
26744400.0	11.866666666666665	30.07190693452381	21.845590235294114	29.292143464285715	22.049128531746035	1800.0	600.0
26746200.0	11.696666666666665	30.02819120952381	21.853531411764706	29.267239504761903	22.0651852962963	1800.0	600.0
26748000.0	13.95	30.298243065934066	21.92500486393019	29.458132631868132	22.07943951892552	1800.0	600.0
26749800.0	13.882142857142856	30.19592036734694	22.060716040816324	29.284899836734695	22.186532989795918	1800.0	600.0
26751600.0	11.731360946745562	30.00593545054945	22.065493983516486	29.10340846153846	22.09999982967033	1800.0	600.0
26753400.0	11.322073578595319	29.56125110625	22.010234972656253	28.69175763095238	21.999543628906252	1800.0	600.0
26755200.0	11.03695652173913	29.086000440000003	21.931713271875	28.327668666666664	21.956837671875	1800.0	600.0
26757000.0	10.368303571428571	28.612967923076923	21.83300130357143	27.88362665934066	21.907376754464288	1800.0	600.0
26758800.0	10.2046875	26.984424853846157	21.812167654166664	26.29346223846154	21.859867986160715	1800.0	600.0
26760600.0	9.83	20.58000056666667	21.729779661111113	20.030000400000002	21.42476328095238	1800.0	600.0
26762400.0	9.936842105263159	17.63684257894737	21.40736959962406	17.23631655263158	20.90518839849624	1800.0	600.0
26764200.0	9.671428571428573	15.428572071428572	21.037859132653065	15.170714821428572	20.436856170222633	1800.0	600.0
26766000.0	9.265555555555556	18.6100006	19.064000533333335	14.388833891666668	20.090198619696974	1800.0	40.0
26767800.0	8.935171568627451	20.911921329721363	19.487058764705885	14.099852948529412	19.84544213235294	1800.0	0.0
26769600.0	8.684943181818182	20.83033613157895	19.332272090909093	14.75409090909091	18.90772756818182	327.27272727272725	0.0
26771400.0	8.256666666666666	20.25400013333333	18.276471266666665	16.944001	17.211111311111107	0.0	0.0
26773200.0	8.022727272727273	19.759243424242428	17.640588318181816	17.443183	16.902293937229437	0.0	0.0
26775000.0	7.733333333333333	19.18323241717172	17.098890077777778	17.494061484848483	16.666191325396827	0.0	0.0
26776800.0	7.476470588235294	18.7363635828877	16.81862922549019	17.355829689839567	16.537646843137253	0.0	0.0
26778600.0	7.0841666666666665	18.3230016625	16.49866638888889	17.101500124999998	16.356889022222223	0.0	0.0
26780400.0	6.73125	18.002500718750003	16.26666702777778	16.8312504375	16.18277877777778	0.0	0.0
26782200.0	6.5062500000000005	17.792500343750003	16.10666736111111	16.6062496875	16.056112111111112	0.0	0.0
26784000.0	6.278125	17.518750765625	15.914524759920637	16.356517816964285	15.912422063492064	0.0	0.0
26785800.0	6.078333333333333	17.305904914285712	15.760381114285714	16.174285504761905	15.774285904761905	0.0	0.0
26787600.0	3.673076923076923	17.110550445054944	15.521319642857144	15.952638208791209	15.581758406593407	0.0	0.0
26789400.0	2.7535714285714286	16.898368020408164	15.271225489795919	15.7500005	15.350868149234696	0.0	0.0
26791200.0	2.5115384615384615	16.695166054945055	15.057363214285715	15.556593945054946	15.155659350274725	0.0	0.0
26793000.0	2.073529411764706	16.49882444117647	14.848823911764706	15.338970698529412	14.987731092436976	0.0	0.0
26794800.0	1.7227272727272727	16.3236375	14.672272795454546	15.154319147727273	14.838182363636365	0.0	0.0
26796600.0	1.2761904761904763	16.170953325396827	14.508572285714285	15.005715232142858	14.682143535714287	0.0	0.0
26798400.0	2.795555555555556	16.027874291534392	14.381762454761907	14.954476711904762	14.55771472857143	0.0	0.0
26800200.0	2.191666666666667	15.915510714285714	14.402041209183674	14.86020443367347	14.578878540816328	0.0	0.0
26802000.0	1.1601190476190477	15.839388433673468	14.26375075	14.651429535714286	14.4787504375	0.0	0.0
26803800.0	0.9433333333333334	15.730205553846154	14.151166966666667	14.495704666666667	14.376500291666668	0.0	0.0
26805600.0	0.707258064516129	15.655385086848636	14.042811587557603	14.390143645161292	14.288065080645161	0.0	0.0
26807400.0	0.5147058823529411	16.228236029411764	14.019580075630254	14.383823977941177	14.396471000000002	0.0	0.0
26809200.0	2.43	21.900573042857143	19.04000106666667	20.339572329761907	18.159667275	1320.0	440.0
26811000.0	3.090769230769231	23.902858542857143	21.61190636666667	22.984762857142858	19.077667258333335	1800.0	600.0
26812800.0	3.4952662721893493	22.68373705494506	22.117802711538463	21.575385813186813	19.321540692307693	1800.0	600.0
26814600.0	6.123076923076923	24.13923153846154	22.30946624832776	23.12923226923077	19.473846961538463	1800.0	600.0
26816400.0	5.613793103448276	24.65560500862069	22.511706927473764	23.521725465517243	19.724568991379314	1800.0	600.0
26818200.0	6.421875	25.252969578125	21.742814640625	24.28937715625	20.142812859375002	1800.0	600.0
26820000.0	11.953571428571427	25.436634346938778	21.751607276785712	24.678573500000002	20.75997603571429	1800.0	600.0
26821800.0	13.511764705882353	25.32865592016807	21.975295470588236	24.55000123529412	21.46664034705882	1800.0	600.0
26823600.0	10.434615384615386	26.24615526923077	22.227363846153846	25.47307830769231	22.014616864835165	1800.0	600.0
26825400.0	10.391176470588235	28.088236411764708	22.44110308496732	27.206031036764706	22.717059079831934	1800.0	600.0
26827200.0	10.560714285714285	28.891965839285717	22.629485109126986	27.380984370535714	23.208692005952383	1800.0	600.0
26829000.0	10.945833333333333	29.96889061111111	22.93388926851852	19.899723638888887	23.64009441435185	1800.0	600.0
26830800.0	12.882291666666667	29.999793291666666	23.000418065972223	16.105	23.72625128125	1800.0	600.0
26832600.0	13.434558823529413	29.508677294117646	23.135217828560375	15.992980274936064	23.673335215686276	1800.0	600.0
26834400.0	12.032	28.275430022857144	23.127853191578946	16.152865702134388	23.542757555555557	1800.0	600.0
26836200.0	11.346666666666668	27.932436513756617	22.99259340740741	16.154849484848487	23.281938724501423	1800.0	600.0
26838000.0	12.154545454545456	28.115344664742665	22.949428208754213	16.430000590909092	23.01326161849262	1800.0	600.0
26839800.0	11.653125	28.44321562202381	22.75604292708333	18.726875281250003	22.729124558712122	1800.0	600.0
26841600.0	10.802777777777777	27.217064482804236	22.516693354497356	22.705556222222224	22.557693271885523	1800.0	600.0
26843400.0	8.776875	27.36518025892857	22.269921095063026	26.438637497159093	22.42356191856061	1800.0	600.0
26845200.0	8.288548387096775	26.558065532258066	22.175616911764706	25.849414195014663	22.30182118181818	1800.0	600.0
26847000.0	7.505756578947368	23.39186484068279	21.887226775248934	22.872257029323308	21.969460317293237	1800.0	600.0
26848800.0	8.322223837209302	23.193364035512257	21.77414637450241	22.497143202159467	21.748006971428573	1800.0	600.0
26850600.0	8.604071428571428	17.941200515	21.232150854761905	17.5720004375	21.206800410000003	1800.0	600.0
26852400.0	7.586974789915966	19.7480006	19.458973000933707	15.877648000000002	20.814511784313726	1800.0	0.0
26854200.0	7.689722222222223	21.373474618421053	20.00577856666667	15.445000565	20.555974564102563	1800.0	0.0
26856000.0	8.128730158730159	21.3640166037594	19.91523902063492	15.825428934285716	19.62582448241758	411.42857142857144	0.0
26857800.0	8.625675675675675	20.72434417929293	18.732083715277778	17.803778744444443	17.960833645833336	0.0	0.0
26859600.0	8.672972972972971	20.202459780748665	18.043089095588236	18.303353829411762	17.53382405147059	0.0	0.0
26861400.0	8.797766516516516	19.751161810606064	17.69272709090909	18.36946780769231	17.381482555555557	0.0	0.0
26863200.0	8.057638888888889	19.39717255050505	17.491717057239057	18.301368933048437	17.313704648148146	0.0	0.0
26865000.0	7.631578947368421	19.015735058171746	17.29766976942356	18.087368877192983	17.21719396491228	0.0	0.0
26866800.0	8.234615384615385	19.152894960526318	17.312137539879476	17.995001375	17.230001	0.0	0.0
26868600.0	9.45	19.41394885526316	17.40225806451613	18.012779597222224	17.251333622222223	0.0	0.0
26870400.0	10.979166666666666	19.39184373245614	17.40684023573201	17.975278847222224	17.206833938888888	0.0	0.0
26872200.0	12.317857142857141	19.55214345	17.406010600636204	18.040142503571428	17.1799995	0.0	0.0
26874000.0	11.36111111111111	19.556667233333332	17.544385669590643	18.078777617592593	17.320001	0.0	0.0
26875800.0	11.346250000000001	19.2050006	17.558074555555557	17.938898994685992	17.297333766666664	0.0	0.0
26877600.0	11.24375	19.12100046666667	17.700593644444442	17.895653391304343	17.424286314285716	0.0	0.0
26879400.0	11.066964285714285	18.978662165178573	17.6747509125	17.846828940217385	17.342232720982143	0.0	0.0
26881200.0	11.160714285714285	18.85761873809524	17.468667158333336	17.75723267857143	17.184643598214283	0.0	0.0
26883000.0	11.271666666666667	18.774666133333334	17.43352518095238	17.68104949047619	17.142953071428572	0.0	0.0
26884800.0	11.510416666666666	18.92160325320513	17.39726298214286	17.66055656944444	17.078057555555553	0.0	0.0
26886600.0	10.605882352941176	18.9754874425905	17.382765067647057	17.65960800980392	17.133726343137255	0.0	0.0
26888400.0	10.597826086956522	19.135544388586958	17.47343535869565	17.766957130434783	17.18550731884058	0.0	0.0
26890200.0	10.141458333333333	18.73598272767857	17.430666433333332	17.587946066964285	17.14083397916667	0.0	0.0
26892000.0	10.042222222222222	18.631633183673472	17.46944503174603	17.52204180612245	17.166191595238097	0.0	0.0
26893800.0	10.070833333333333	19.223077576923078	17.668847538461538	17.896154499999998	17.37846248461538	0.0	0.0
26895600.0	10.034953703703703	23.28277936111111	19.943334222222223	23.356112305555556	19.325715622222223	1200.0	333.3333333333333
26897400.0	10.065441176470587	25.64625134375	21.367720610294118	24.961875093750002	20.42232178125	1800.0	600.0
26899200.0	9.611764705882353	24.417692846153848	21.258190095022623	23.846924	20.6015382967033	1800.0	600.0
26901000.0	10.071875	25.79437709375	21.311350425986845	25.1531255625	20.90249944642857	1800.0	600.0
26902800.0	10.893749999999999	26.466250562500004	21.441184924342107	25.860001999999998	21.098749770833333	1800.0	600.0
26904600.0	11.205882352941176	27.23578524754902	21.5640016	26.48823623529412	21.26470694117647	1800.0	600.0
26906400.0	10.951449275362318	27.20991155887681	21.723132426086956	26.34869634782609	21.454784086956522	1800.0	600.0
26908200.0	10.329166666666666	26.81023490234375	21.96820431640625	25.822626456250003	21.57000015625	1800.0	600.0
26910000.0	9.850000000000001	26.770607674242424	22.01767215625	25.746728236363637	21.659849787878787	1800.0	600.0
26911800.0	9.726136363636362	26.68388976388889	21.977413252192985	25.67583375	21.701113430555555	1800.0	600.0
26913600.0	9.79979797979798	26.828572785714286	21.908949026315792	25.83016008730159	21.665636281746032	1800.0	600.0
26915400.0	10.00235294117647	27.037984726890755	21.920784843137255	26.01551968207283	21.63128905462185	1800.0	600.0
